Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.433604717,4.886956,-2.010315,0.8046274,1.014212,0.0159329,0.155171,-44.03342,-20.1855,8.003362,957.0933
0.443459511,3.520406,-1.653262,0.9885363,1.013169,0.01639416,0.1508769,-44.03342,-20.1855,8.003362,957.0933
0.453313828,1.594813,-1.415226,1.662869,1.01066,0.021725,0.1509577,-44.03342,-20.1855,8.003362,957.0933
0.463168621,-0.5171283,-1.474735,2.459808,1.005149,0.0299402,0.1487096,-44.03342,-20.1855,8.003362,957.0922
0.473022938,-2.070026,-1.593753,3.134141,1.005843,0.02756174,0.161618,-44.03342,-20.1855,8.003362,957.0922
0.482877731,-3.436576,-1.415226,2.888929,1.012271,0.02177876,0.1614776,-44.03342,-20.1855,8.003362,957.0922
0.492732525,-3.250229,-0.8796456,2.582414,1.016504,0.005793244,0.1708663,-44.03342,-20.1855,8.003362,957.0922
0.502586842,-2.256374,-0.3440652,2.398505,1.02399,-0.01216416,0.1658161,-44.03342,-20.1855,8.003362,957.0925
0.514905453,-0.7034761,0.6080777,2.214596,1.00962,-0.00160097,0.1617972,-44.03342,-20.1855,8.003362,957.0925
0.524760246,-0.08231696,0.370042,2.153293,1.003328,-0.005543986,0.1632912,-44.03618,-20.19085,7.619279,957.0925
0.534614563,0.7873058,0.2510241,2.521111,1.002238,0.002715524,0.1624181,-44.03618,-20.19085,7.619279,957.0925
0.544469357,0.4146104,0.5485688,2.766323,1.012192,0.0256621,0.1591155,-44.03618,-20.19085,7.619279,957.0892
0.554324150,-0.5171283,1.143658,2.950232,1.013315,0.01399469,0.1594802,-44.03618,-20.19085,7.619279,957.0892
0.564178467,0.1661467,1.381694,2.275899,1.007454,0.01492176,0.1610091,-44.03618,-20.19085,7.619279,957.0892
0.574033260,0.7251899,1.679239,1.601566,1.00009,0.008990403,0.153876,-44.03819,-19.8227,7.615508,957.0892
0.583887577,-0.08231696,1.500712,0.8659304,1.002117,0.004145552,0.1547647,-44.03819,-19.8227,7.615508,957.0896
0.593742371,-0.8277079,1.738747,1.417657,1.009426,0.003225822,0.1517775,-44.03819,-19.8227,7.615508,957.0896
0.603597164,-1.200403,2.274328,2.275899,1.010303,0.01394658,0.1537723,-44.03819,-19.8227,7.615508,957.0896
0.613451481,-1.573099,2.69089,2.950232,0.9999595,0.01774139,0.152035,-44.03819,-19.8227,7.615508,957.0896
0.623306751,-3.063881,2.571872,3.31805,1.001856,0.02555314,0.1544698,-44.03342,-20.1855,8.003362,957.0862
0.633161545,-4.368315,2.571872,3.379353,0.9916342,0.02352386,0.1565152,-44.03342,-20.1855,8.003362,957.0862
0.643015861,-4.741011,2.095801,3.256747,0.9970458,0.018698,0.1544806,-44.03342,-20.1855,8.003362,957.0862
0.652870655,-4.678895,1.679239,3.31805,1.00003,0.021179,0.1602094,-44.03342,-20.1855,8.003362,957.0862
0.662725449,-6.045445,1.262676,3.134141,1.007839,0.02807854,0.1649483,-44.03342,-20.1855,8.003362,957.0847
0.672579765,-7.722575,1.798256,3.072838,1.012233,0.02274449,0.1595694,-44.03618,-20.19085,7.619279,957.0847
0.684898376,-8.778544,2.333837,2.766323,1.005285,0.02070264,0.1505464,-44.03618,-20.19085,7.619279,957.0847
0.694753170,-8.716429,2.274328,2.521111,1.008786,0.01538412,0.1514101,-44.03618,-20.19085,7.619279,957.0884
0.704607487,-8.654313,2.274328,2.398505,1.008376,0.003685223,0.1470044,-44.03618,-20.19085,7.619279,957.0884
0.714462280,-7.474111,2.393346,2.09199,1.007473,-0.003137339,0.1464805,-44.03618,-20.19085,7.619279,957.0884
0.724317074,-5.67275,2.333837,1.969384,1.004459,-0.004162317,0.139806,-44.78163,-20.55036,7.626913,957.0884
0.734171390,-3.933504,2.214819,1.785475,1.008455,-0.0001981202,0.1493665,-44.78163,-20.55036,7.626913,957.0884
0.744026184,-2.815417,2.036292,1.540263,1.000506,0.00848585,0.1481155,-44.78163,-20.55036,7.626913,957.0886
0.753880501,-1.635215,1.738747,1.049839,1.000541,0.009960438,0.151961,-44.78163,-20.55036,7.626913,957.0886
0.763735294,-1.883678,1.61973,0.6207184,0.9989957,0.01871336,0.1539737,-44.78163,-20.55036,7.626913,957.0886
0.773590088,-2.566953,1.560221,0.4981124,1.000946,0.01921716,0.1539501,-44.41267,-20.19188,7.237127,957.0886
0.783444405,-3.68504,1.500712,0.6207184,0.9979445,0.01770746,0.1477506,-44.41267,-20.19188,7.237127,957.0862
0.793299675,-4.554663,1.381694,0.6820214,0.9924018,0.02200775,0.1397195,-44.41267,-20.19188,7.237127,957.0862
0.803154468,-5.67275,0.9651313,0.7433244,0.9861174,0.02343752,0.1465299,-44.41267,-20.19188,7.237127,957.0862
0.813008785,-6.542372,1.084149,0.5594154,0.9895258,0.01760457,0.1402025,-44.41267,-20.19188,7.237127,957.0862
0.822863579,-6.480257,0.7270955,0.4368094,0.9894614,0.01807444,0.1358946,-44.04095,-19.82805,7.231425,957.0881
0.832718372,-5.548518,0.5485688,0.1915974,0.9896088,0.007863726,0.1377231,-44.04095,-19.82805,7.231425,957.0881
0.845036983,-2.504838,-0.2250474,-0.9118565,0.9972348,-0.01591219,0.137893,-44.04095,-19.82805,7.231425,957.0881
0.854891300,0.8494217,-0.5225921,-1.770099,1.006312,-0.03333296,0.1424086,-44.04095,-19.82805,7.231425,957.0844
0.864746094,4.949072,-0.3440652,-2.812249,1.010109,-0.03674914,0.1308249,-44.04095,-19.82805,7.231425,957.0844
0.874600410,8.365448,-0.1655384,-3.547885,1.011548,-0.02942084,0.135179,-44.41267,-20.19188,7.237127,957.0844
0.884455204,9.483534,-0.4630831,-3.793097,1.006303,-0.005153534,0.1306666,-44.41267,-20.19188,7.237127,957.0844
0.894309998,8.303332,-0.7011189,-3.425279,1.005991,0.02161013,0.1313761,-44.41267,-20.19188,7.237127,957.082
0.904164314,6.315622,-1.474735,-2.996159,1.008347,0.03137065,0.1333417,-44.41267,-20.19188,7.237127,957.082
0.914019108,4.265797,-2.010315,-2.812249,1.009836,0.0372485,0.1400788,-44.41267,-20.19188,7.237127,957.082
0.923873425,2.712899,-2.129333,-3.057462,1.008423,0.03432168,0.1415119,-44.41191,-19.81838,7.61744,957.082
