---- Model: bi_lstm_run_4 ----
Train Losses:
Epoch 1: 0.02343885973095894
Epoch 2: 0.010873688384890556
Epoch 3: 0.00762843107804656
Epoch 4: 0.004791258834302425
Epoch 5: 0.004832723177969456
Epoch 6: 0.0052942074835300446
Epoch 7: 0.0034536246675997972
Epoch 8: 0.004400826059281826
Epoch 9: 0.0025070097763091326
Epoch 10: 0.00394707964733243
Epoch 11: 0.0032104540150612593
Epoch 12: 0.0034413246903568506
Epoch 13: 0.003491339273750782
Epoch 14: 0.003670895704999566
Epoch 15: 0.0029044460970908403
Epoch 16: 0.0030964077450335026
Epoch 17: 0.0027020140551030636
Epoch 18: 0.002727881772443652
Epoch 19: 0.0028207069262862206
Epoch 20: 0.0027949868235737085
Epoch 21: 0.00232932111248374
Epoch 22: 0.0017466526478528976
Epoch 23: 0.0026950298342853785
Epoch 24: 0.002085828920826316
Epoch 25: 0.002184757264330983
Epoch 26: 0.0014083971036598086
Epoch 27: 0.0020505294669419527
Epoch 28: 0.0018240170320495963
Epoch 29: 0.0013978035422042012
Epoch 30: 0.0011727140517905354
Epoch 31: 0.001872811932116747
Epoch 32: 0.0017629244830459356
Epoch 33: 0.002212697174400091
Epoch 34: 0.0016791694797575474
Epoch 35: 0.002631040522828698
Epoch 36: 0.0013249507173895836
Epoch 37: 0.001311114989221096
Epoch 38: 0.0016785761108621955
Epoch 39: 0.001501294318586588
Epoch 40: 0.0014893098268657923
Epoch 41: 0.0016704937443137169
Epoch 42: 0.0025929792318493128
Epoch 43: 0.0010739362332969904
Epoch 44: 0.0017126841703429818
Epoch 45: 0.0015233006561174989
Epoch 46: 0.0017500780522823334
Epoch 47: 0.0017795590683817863
Epoch 48: 0.0018915170803666115
Epoch 49: 0.0016064213123172522
Epoch 50: 0.001019870862364769
Validation Losses:
Epoch 1: 0.021925232534742593
Epoch 2: 0.010508475551968753
Epoch 3: 0.007178002106893696
Epoch 4: 0.006293576260644614
Epoch 5: 0.005413484090108502
Epoch 6: 0.0047898179425144875
Epoch 7: 0.004695488389946866
Epoch 8: 0.004293624630373827
Epoch 9: 0.0035992355972399885
Epoch 10: 0.003417499187266239
Epoch 11: 0.003341421194807656
Epoch 12: 0.0031434083177702167
Epoch 13: 0.0030126256680456103
Epoch 14: 0.0029176349697091516
Epoch 15: 0.002879641487852727
Epoch 16: 0.002672645253646141
Epoch 17: 0.0025592516197549767
Epoch 18: 0.002532235105973681
Epoch 19: 0.002453717370547158
Epoch 20: 0.002291243502000629
Epoch 21: 0.0022567085127475637
Epoch 22: 0.00227806905103081
Epoch 23: 0.002111935740434899
Epoch 24: 0.0020591230530310404
Epoch 25: 0.0020394107788085573
Epoch 26: 0.0019336283613177359
Epoch 27: 0.0020433097130802547
Epoch 28: 0.0019739935429196644
Epoch 29: 0.001837574522312118
Epoch 30: 0.0018713233791981959
Epoch 31: 0.0018999009340499053
Epoch 32: 0.001802953432773415
Epoch 33: 0.0018622819043494605
Epoch 34: 0.00183514022094102
Epoch 35: 0.001720024593708213
Epoch 36: 0.0016662311322773915
Epoch 37: 0.0017289320244026675
Epoch 38: 0.0017202975801306418
Epoch 39: 0.0016819232413722888
Epoch 40: 0.0016568522174148182
Epoch 41: 0.0017347070005731648
Epoch 42: 0.0016115466566277595
Epoch 43: 0.0016270839842036366
Epoch 44: 0.0015543504939757146
Epoch 45: 0.0015638082573269845
Epoch 46: 0.0015814751542074358
Epoch 47: 0.0015544705726265515
Epoch 48: 0.0015753193322372886
Epoch 49: 0.0015094309702023295
Epoch 50: 0.0014918625392197386

SVM Test Accuracy: 93.23%
