---- Model: cnn_lstm_pool_run_2 ----
Train Losses:
Epoch 1: 0.040550440549850464
Epoch 2: 0.02979693002998829
Epoch 3: 0.022125134244561195
Epoch 4: 0.019265588372945786
Epoch 5: 0.01466680783778429
Epoch 6: 0.012369224801659584
Epoch 7: 0.009003676474094391
Epoch 8: 0.012062374502420425
Epoch 9: 0.00967220589518547
Epoch 10: 0.010673475451767445
Epoch 11: 0.006285571027547121
Epoch 12: 0.006737901363521814
Epoch 13: 0.005398652050644159
Epoch 14: 0.007288196589797735
Epoch 15: 0.006778327282518148
Epoch 16: 0.01069075521081686
Epoch 17: 0.007872973568737507
Epoch 18: 0.006054852157831192
Epoch 19: 0.006626844871789217
Epoch 20: 0.006789544131606817
Epoch 21: 0.005703078582882881
Epoch 22: 0.005063531920313835
Epoch 23: 0.00530451163649559
Epoch 24: 0.00544670270755887
Epoch 25: 0.005241899751126766
Epoch 26: 0.007046394515782595
Epoch 27: 0.005941617768257856
Epoch 28: 0.0067092436365783215
Epoch 29: 0.0059302509762346745
Epoch 30: 0.004599160980433226
Epoch 31: 0.005585858598351479
Epoch 32: 0.005394625011831522
Epoch 33: 0.0041101546958088875
Epoch 34: 0.003865486942231655
Epoch 35: 0.004340230021625757
Epoch 36: 0.004366231616586447
Epoch 37: 0.005664241034537554
Epoch 38: 0.00463258707895875
Epoch 39: 0.004186940845102072
Epoch 40: 0.003989226184785366
Epoch 41: 0.005675069522112608
Epoch 42: 0.005366276949644089
Epoch 43: 0.00402308814227581
Epoch 44: 0.004077155143022537
Epoch 45: 0.0033091704826802015
Epoch 46: 0.005051617976278067
Epoch 47: 0.0044691595248878
Epoch 48: 0.004499171860516071
Epoch 49: 0.00502460403367877
Epoch 50: 0.0027230223640799522
Validation Losses:
Epoch 1: 0.035010013548313866
Epoch 2: 0.029133436929004827
Epoch 3: 0.018539274715354073
Epoch 4: 0.015249258773460592
Epoch 5: 0.012754614538530887
Epoch 6: 0.011699338006253246
Epoch 7: 0.010633070009179433
Epoch 8: 0.009647573465371435
Epoch 9: 0.008935567786702235
Epoch 10: 0.010288360397535275
Epoch 11: 0.007963912133516559
Epoch 12: 0.008108216851736528
Epoch 13: 0.007522313654690061
Epoch 14: 0.007072611319850267
Epoch 15: 0.0066826826269796745
Epoch 16: 0.006776757733718738
Epoch 17: 0.006267359937041267
Epoch 18: 0.0061954521378679885
Epoch 19: 0.006277247669545766
Epoch 20: 0.007097131188630678
Epoch 21: 0.005614590496129334
Epoch 22: 0.005591962699246314
Epoch 23: 0.005874229050313312
Epoch 24: 0.005245986349329176
Epoch 25: 0.005895098828229305
Epoch 26: 0.005134893234245662
Epoch 27: 0.005153688913436233
Epoch 28: 0.005202876671228379
Epoch 29: 0.004998267355030716
Epoch 30: 0.0048422792602455635
Epoch 31: 0.005131816943611723
Epoch 32: 0.004762085497660138
Epoch 33: 0.0046708822993901675
Epoch 34: 0.004526376270001364
Epoch 35: 0.004724431177728102
Epoch 36: 0.004552225214340381
Epoch 37: 0.0044657180257493476
Epoch 38: 0.004469522938206724
Epoch 39: 0.004443880983904938
Epoch 40: 0.004408945293537088
Epoch 41: 0.004191323624818936
Epoch 42: 0.004235965665006887
Epoch 43: 0.004253514959467583
Epoch 44: 0.00419142336747884
Epoch 45: 0.004147084947543508
Epoch 46: 0.004181788422016733
Epoch 47: 0.0041150624904406005
Epoch 48: 0.004089605503484648
Epoch 49: 0.004306671534877246
Epoch 50: 0.003973816714328219

SVM Test Accuracy: 95.12%
