---- Model: lstm_run_9_larm ----
Train Losses:
Epoch 1: 0.03516533598303795
Epoch 2: 0.01787828467786312
Epoch 3: 0.014111751690506935
Epoch 4: 0.010106093250215054
Epoch 5: 0.00928482972085476
Epoch 6: 0.007526891306042671
Epoch 7: 0.0073690214194357395
Epoch 8: 0.00536091485992074
Epoch 9: 0.003989546559751034
Epoch 10: 0.005700343754142523
Epoch 11: 0.004756806883960962
Epoch 12: 0.0061240848153829575
Epoch 13: 0.004889253526926041
Epoch 14: 0.005295055452734232
Epoch 15: 0.0032081103418022394
Epoch 16: 0.003877090523019433
Epoch 17: 0.0027183385100215673
Epoch 18: 0.003452188801020384
Epoch 19: 0.003667249344289303
Epoch 20: 0.004369549918919802
Epoch 21: 0.0022498841863125563
Epoch 22: 0.0055436003021895885
Epoch 23: 0.004501286428421736
Epoch 24: 0.0035028839483857155
Epoch 25: 0.0021528280340135098
Epoch 26: 0.002693323651328683
Epoch 27: 0.003575608367100358
Epoch 28: 0.0022673695348203182
Epoch 29: 0.00257824151776731
Epoch 30: 0.003341394942253828
Epoch 31: 0.0029092500917613506
Epoch 32: 0.002186681143939495
Epoch 33: 0.0019042149651795626
Epoch 34: 0.0017397544579580426
Epoch 35: 0.001941675553098321
Epoch 36: 0.002533514518290758
Epoch 37: 0.0022284877486526966
Epoch 38: 0.0026977015659213066
Epoch 39: 0.0027079074643552303
Epoch 40: 0.0023389963898807764
Epoch 41: 0.0017731392290443182
Epoch 42: 0.00321205984801054
Epoch 43: 0.0022423197515308857
Epoch 44: 0.0024557681754231453
Epoch 45: 0.002584461821243167
Epoch 46: 0.0026349073741585016
Epoch 47: 0.0028700842522084713
Epoch 48: 0.0022120096255093813
Epoch 49: 0.002164262579753995
Epoch 50: 0.0030461319256573915
Validation Losses:
Epoch 1: 0.03648324770247057
Epoch 2: 0.013305035473817133
Epoch 3: 0.009954098260712595
Epoch 4: 0.008716272638419231
Epoch 5: 0.007293725556309956
Epoch 6: 0.007167476825100767
Epoch 7: 0.006404532111748747
Epoch 8: 0.006034442837357954
Epoch 9: 0.005477858513048619
Epoch 10: 0.00567193629621036
Epoch 11: 0.005064735626024807
Epoch 12: 0.005264015457262944
Epoch 13: 0.004796697073441535
Epoch 14: 0.004753815598038116
Epoch 15: 0.004364591469130104
Epoch 16: 0.004287596561685835
Epoch 17: 0.003978501243501037
Epoch 18: 0.003921088236389724
Epoch 19: 0.003850713543967764
Epoch 20: 0.003756638092665675
Epoch 21: 0.0034309361758388516
Epoch 22: 0.003421590830443794
Epoch 23: 0.0032323806655301544
Epoch 24: 0.0032176804594231598
Epoch 25: 0.003204199323034254
Epoch 26: 0.00321362846578272
Epoch 27: 0.003066751654085308
Epoch 28: 0.0029550936189057823
Epoch 29: 0.0030649522521579244
Epoch 30: 0.003069437506463392
Epoch 31: 0.0030546370066562726
Epoch 32: 0.002907889134148102
Epoch 33: 0.0027427263084929686
Epoch 34: 0.0027617610514641456
Epoch 35: 0.002749844341332762
Epoch 36: 0.0027503119364939406
Epoch 37: 0.002612405419862067
Epoch 38: 0.0026333422035186077
Epoch 39: 0.002666533942939094
Epoch 40: 0.0025782767672569208
Epoch 41: 0.0024878703389415897
Epoch 42: 0.0024908482352724386
Epoch 43: 0.0025660284038097063
Epoch 44: 0.002669959077515843
Epoch 45: 0.0024266857451150036
Epoch 46: 0.00251104175664953
Epoch 47: 0.002478883311461022
Epoch 48: 0.0024106176184352933
Epoch 49: 0.002424654604623853
Epoch 50: 0.002345150621819615

SVM Test Accuracy: 96.67%
