---- Model: lstm_run_17_rarm ----
Train Losses:
Epoch 1: 0.04041446000337601
Epoch 2: 0.01914812996983528
Epoch 3: 0.017763637006282806
Epoch 4: 0.01846906915307045
Epoch 5: 0.012883607298135757
Epoch 6: 0.010287567973136902
Epoch 7: 0.014467614702880383
Epoch 8: 0.01218245830386877
Epoch 9: 0.009734497405588627
Epoch 10: 0.009835837408900261
Epoch 11: 0.01092786155641079
Epoch 12: 0.010361947119235992
Epoch 13: 0.009879396297037601
Epoch 14: 0.008994723670184612
Epoch 15: 0.0069111790508031845
Epoch 16: 0.00852631963789463
Epoch 17: 0.008493143133819103
Epoch 18: 0.008832139894366264
Epoch 19: 0.008447110652923584
Epoch 20: 0.008411849848926067
Epoch 21: 0.006199894472956657
Epoch 22: 0.005391248501837254
Epoch 23: 0.0066435555927455425
Epoch 24: 0.0062667131423950195
Epoch 25: 0.005237379111349583
Epoch 26: 0.005764201283454895
Epoch 27: 0.007556981407105923
Epoch 28: 0.0060640862211585045
Epoch 29: 0.0056336079724133015
Epoch 30: 0.004781563766300678
Epoch 31: 0.005757733713835478
Epoch 32: 0.005459323525428772
Epoch 33: 0.00480619166046381
Epoch 34: 0.006412354297935963
Epoch 35: 0.005866839550435543
Epoch 36: 0.006630816031247377
Epoch 37: 0.005078825168311596
Epoch 38: 0.005108627025038004
Epoch 39: 0.0045153177343308926
Epoch 40: 0.004506967030465603
Epoch 41: 0.005557427182793617
Epoch 42: 0.0038538947701454163
Epoch 43: 0.0032347729429602623
Epoch 44: 0.004548172932118177
Epoch 45: 0.004379825666546822
Epoch 46: 0.00481769721955061
Epoch 47: 0.003921994939446449
Epoch 48: 0.004819232039153576
Epoch 49: 0.004625048954039812
Epoch 50: 0.003965871874243021
Validation Losses:
Epoch 1: 0.040059712688998515
Epoch 2: 0.026828585685514973
Epoch 3: 0.015937440723090734
Epoch 4: 0.014689153311858544
Epoch 5: 0.012536394584282467
Epoch 6: 0.010852146303995858
Epoch 7: 0.01112831931257356
Epoch 8: 0.00966242845437498
Epoch 9: 0.00955465529564194
Epoch 10: 0.008912231860361611
Epoch 11: 0.008712832023617544
Epoch 12: 0.007890964229380166
Epoch 13: 0.007528108833329555
Epoch 14: 0.007083757319614246
Epoch 15: 0.007230826365702372
Epoch 16: 0.0069247682446619534
Epoch 17: 0.006696722169161924
Epoch 18: 0.006560421640790571
Epoch 19: 0.006258360557595768
Epoch 20: 0.007390340605294867
Epoch 21: 0.0061710144767363265
Epoch 22: 0.00622933829495869
Epoch 23: 0.005892957425099485
Epoch 24: 0.0059359532749995005
Epoch 25: 0.005536669754673617
Epoch 26: 0.005454346885358819
Epoch 27: 0.005769956884539919
Epoch 28: 0.00542678565372153
Epoch 29: 0.005932056241221388
Epoch 30: 0.0052566389840242546
Epoch 31: 0.005776503383888219
Epoch 32: 0.005457554091741626
Epoch 33: 0.005029351468228952
Epoch 34: 0.005183559011814278
Epoch 35: 0.005057094775961875
Epoch 36: 0.005145476539014329
Epoch 37: 0.005157280877356353
Epoch 38: 0.004676318092811909
Epoch 39: 0.004785465635640654
Epoch 40: 0.004668445858451625
Epoch 41: 0.004787692445642639
Epoch 42: 0.004670811707598475
Epoch 43: 0.004671168320860117
Epoch 44: 0.004670087828545682
Epoch 45: 0.004483450022934067
Epoch 46: 0.004622168082665101
Epoch 47: 0.004479207906005426
Epoch 48: 0.004525277040493632
Epoch 49: 0.004428400857278408
Epoch 50: 0.004329007299436858

SVM Test Accuracy: 96.83%
