---- Model: lstm_run_3 ----
Train Losses:
Epoch 1: 0.03316238895058632
Epoch 2: 0.021364087238907814
Epoch 3: 0.011580530554056168
Epoch 4: 0.013239208608865738
Epoch 5: 0.006490759085863829
Epoch 6: 0.005650182720273733
Epoch 7: 0.008343573659658432
Epoch 8: 0.006952344905585051
Epoch 9: 0.004001853987574577
Epoch 10: 0.004634849727153778
Epoch 11: 0.003250795416533947
Epoch 12: 0.004858065862208605
Epoch 13: 0.005724968388676643
Epoch 14: 0.004270851146429777
Epoch 15: 0.0032637291587889194
Epoch 16: 0.004721011035144329
Epoch 17: 0.00455192755907774
Epoch 18: 0.0030113805551081896
Epoch 19: 0.004149910062551498
Epoch 20: 0.004131456837058067
Epoch 21: 0.00252513843588531
Epoch 22: 0.0037478164304047823
Epoch 23: 0.003516401629894972
Epoch 24: 0.003324017161503434
Epoch 25: 0.0023191659711301327
Epoch 26: 0.002973208436742425
Epoch 27: 0.0030967709608376026
Epoch 28: 0.002220467897132039
Epoch 29: 0.0021249474957585335
Epoch 30: 0.0026571517810225487
Epoch 31: 0.002498363144695759
Epoch 32: 0.00453995680436492
Epoch 33: 0.002265716902911663
Epoch 34: 0.0025157665368169546
Epoch 35: 0.0028453769627958536
Epoch 36: 0.0032626925967633724
Epoch 37: 0.002193563850596547
Epoch 38: 0.002392537659034133
Epoch 39: 0.0018788171000778675
Epoch 40: 0.0021498240530490875
Epoch 41: 0.002151465741917491
Epoch 42: 0.0019710378255695105
Epoch 43: 0.0021606211084872484
Epoch 44: 0.002503970405086875
Epoch 45: 0.0020449263975024223
Epoch 46: 0.001503479783423245
Epoch 47: 0.0018466291949152946
Epoch 48: 0.0022794015239924192
Epoch 49: 0.0017852499149739742
Epoch 50: 0.0018923536408692598
Validation Losses:
Epoch 1: 0.033812318130867464
Epoch 2: 0.02232277031131867
Epoch 3: 0.011695167833903668
Epoch 4: 0.012021341888093602
Epoch 5: 0.007794602648046317
Epoch 6: 0.007380029250893887
Epoch 7: 0.00649273659243882
Epoch 8: 0.006400787204734095
Epoch 9: 0.006038698526378467
Epoch 10: 0.005756864042954349
Epoch 11: 0.005174995062290797
Epoch 12: 0.005162332424780626
Epoch 13: 0.005163234573527561
Epoch 14: 0.004470716022482848
Epoch 15: 0.004518172485867243
Epoch 16: 0.0039957338355339515
Epoch 17: 0.003925025067651656
Epoch 18: 0.0036075011294988153
Epoch 19: 0.003800398886261286
Epoch 20: 0.004056500587324789
Epoch 21: 0.003686609220768001
Epoch 22: 0.003581777200412401
Epoch 23: 0.0033352415732528463
Epoch 24: 0.003496738440432433
Epoch 25: 0.003074933529673288
Epoch 26: 0.0030079552287119123
Epoch 27: 0.0031466294049567033
Epoch 28: 0.0029432997854001866
Epoch 29: 0.0029396293938606572
Epoch 30: 0.0032723738397848028
Epoch 31: 0.0027711768655764527
Epoch 32: 0.0029276485656803434
Epoch 33: 0.0025653499138408717
Epoch 34: 0.002666209502945858
Epoch 35: 0.0027755576578797018
Epoch 36: 0.002784847506244991
Epoch 37: 0.002592339743665512
Epoch 38: 0.0025599840057795556
Epoch 39: 0.0024642637663509874
Epoch 40: 0.002542707368479424
Epoch 41: 0.002440523090167521
Epoch 42: 0.0023960491391127213
Epoch 43: 0.0024688981837600633
Epoch 44: 0.0024330740497209855
Epoch 45: 0.002483958249436277
Epoch 46: 0.002347012102471954
Epoch 47: 0.002343424532873781
Epoch 48: 0.0023346081049140073
Epoch 49: 0.0023719026126833693
Epoch 50: 0.0022115291694312826

SVM Test Accuracy: 90.46%
