---- Model: cnn_lstm_run_8 ----
Train Losses:
Epoch 1: 0.030355636030435562
Epoch 2: 0.012729099951684475
Epoch 3: 0.010271045379340649
Epoch 4: 0.010028030723333359
Epoch 5: 0.008987557142972946
Epoch 6: 0.007674684748053551
Epoch 7: 0.006248078308999538
Epoch 8: 0.006653381511569023
Epoch 9: 0.005436917766928673
Epoch 10: 0.003944383934140205
Epoch 11: 0.006392001174390316
Epoch 12: 0.0033177160657942295
Epoch 13: 0.0049214125610888
Epoch 14: 0.004074546042829752
Epoch 15: 0.005187841132283211
Epoch 16: 0.00436877878382802
Epoch 17: 0.002662267070263624
Epoch 18: 0.00305438251234591
Epoch 19: 0.004220252390950918
Epoch 20: 0.003933080472052097
Epoch 21: 0.003753103082999587
Epoch 22: 0.002802902366966009
Epoch 23: 0.003209470072761178
Epoch 24: 0.003724322421476245
Epoch 25: 0.0037506395019590855
Epoch 26: 0.004239754285663366
Epoch 27: 0.004035471007227898
Epoch 28: 0.002259143628180027
Epoch 29: 0.002858421765267849
Epoch 30: 0.0020943062845617533
Epoch 31: 0.002837485633790493
Epoch 32: 0.0028827202040702105
Epoch 33: 0.002679114695638418
Epoch 34: 0.0019515203312039375
Epoch 35: 0.0031404434703290462
Epoch 36: 0.002854360966011882
Epoch 37: 0.002195154083892703
Epoch 38: 0.003259339602664113
Epoch 39: 0.0018052965169772506
Epoch 40: 0.00219270633533597
Epoch 41: 0.0023448686115443707
Epoch 42: 0.0023992520291358232
Epoch 43: 0.003028793726116419
Epoch 44: 0.0023747023660689592
Epoch 45: 0.0021628825925290585
Epoch 46: 0.0033036700915545225
Epoch 47: 0.0026763458736240864
Epoch 48: 0.0014746641973033547
Epoch 49: 0.0020257802680134773
Epoch 50: 0.0026261713355779648
Validation Losses:
Epoch 1: 0.027909898966361348
Epoch 2: 0.012090090800120709
Epoch 3: 0.009687852593634505
Epoch 4: 0.008586463575115213
Epoch 5: 0.0077836397907558785
Epoch 6: 0.00703663346641016
Epoch 7: 0.006567312172740075
Epoch 8: 0.006246161017377441
Epoch 9: 0.005723686651119474
Epoch 10: 0.005258956582765082
Epoch 11: 0.005318421984664913
Epoch 12: 0.004827413079053921
Epoch 13: 0.004466763747049044
Epoch 14: 0.004530869064417809
Epoch 15: 0.004031110375605313
Epoch 16: 0.004141078325078149
Epoch 17: 0.004071657253821786
Epoch 18: 0.0038631117404045218
Epoch 19: 0.004058802612870255
Epoch 20: 0.003990873623788221
Epoch 21: 0.003571986046101184
Epoch 22: 0.003473492228865055
Epoch 23: 0.003486496386212127
Epoch 24: 0.003454537179742303
Epoch 25: 0.003454135454468747
Epoch 26: 0.0032951387521353206
Epoch 27: 0.003542786122779349
Epoch 28: 0.00314605528603796
Epoch 29: 0.0031298551834074207
Epoch 30: 0.0030658774948733895
Epoch 31: 0.0030734376739930502
Epoch 32: 0.003030340958912802
Epoch 33: 0.003060855807780502
Epoch 34: 0.002988529816011033
Epoch 35: 0.00292542137943215
Epoch 36: 0.0030052503507472677
Epoch 37: 0.0027710127880666525
Epoch 38: 0.0028967340142685215
Epoch 39: 0.0028348815278255875
Epoch 40: 0.0028055863582667007
Epoch 41: 0.002840562884295723
Epoch 42: 0.002671778380327759
Epoch 43: 0.002774744086918319
Epoch 44: 0.0025843852385709384
Epoch 45: 0.0026885661631518066
Epoch 46: 0.0026084702966530063
Epoch 47: 0.0025653400026781183
Epoch 48: 0.0025549957502910784
Epoch 49: 0.0025776970002725787
Epoch 50: 0.0025366934218937084

SVM Test Accuracy: 93.16%
---- Model: cnn_lstm_run_8 ----
Train Losses:
Epoch 1: 0.030967211350798607
Epoch 2: 0.01385889109224081
Epoch 3: 0.011361810378730297
Epoch 4: 0.009241817519068718
Epoch 5: 0.01024019904434681
Epoch 6: 0.006390492897480726
Epoch 7: 0.009033113718032837
Epoch 8: 0.007408274803310633
Epoch 9: 0.004546704702079296
Epoch 10: 0.007266264874488115
Epoch 11: 0.005339809227734804
Epoch 12: 0.005125971511006355
Epoch 13: 0.0050716823898255825
Epoch 14: 0.0050134784542024136
Epoch 15: 0.004108074586838484
Epoch 16: 0.004119677934795618
Epoch 17: 0.0040282937698066235
Epoch 18: 0.0048825545236468315
Epoch 19: 0.003916123881936073
Epoch 20: 0.0041017006151378155
Epoch 21: 0.0028305044397711754
Epoch 22: 0.003507428104057908
Epoch 23: 0.0034276472870260477
Epoch 24: 0.005029476713389158
Epoch 25: 0.0037453649565577507
Epoch 26: 0.0031915935687720776
Epoch 27: 0.002344783628359437
Epoch 28: 0.004157156217843294
Epoch 29: 0.004183672834187746
Epoch 30: 0.002383345505222678
Epoch 31: 0.0025610248558223248
Epoch 32: 0.002482224488630891
Epoch 33: 0.004480312578380108
Epoch 34: 0.0022656943183392286
Epoch 35: 0.004028996452689171
Epoch 36: 0.0021879489067941904
Epoch 37: 0.0031411214731633663
Epoch 38: 0.002806764794513583
Epoch 39: 0.0030949157662689686
Epoch 40: 0.0026946673169732094
Epoch 41: 0.0024099727161228657
Epoch 42: 0.002975141629576683
Epoch 43: 0.0027185017243027687
Epoch 44: 0.0024587579537183046
Epoch 45: 0.002879086183384061
Epoch 46: 0.0022675562649965286
Epoch 47: 0.0023425105027854443
Epoch 48: 0.002050387905910611
Epoch 49: 0.0023824479430913925
Epoch 50: 0.002971732523292303
Validation Losses:
Epoch 1: 0.030037713838533094
Epoch 2: 0.014619343367648006
Epoch 3: 0.01121040926121182
Epoch 4: 0.010698020994514362
Epoch 5: 0.008759189113724189
Epoch 6: 0.008505862604633827
