Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,12.07683,-6.755483,4.633114,0.9371057,-0.08483592,0.3993031,-42.44955,-10.33684,-40.62203,950.5969
0.019817829,18.2087,-6.114712,5.369469,0.9444146,-0.08231833,0.3997325,-43.12323,-11.08295,-39.84522,950.5986
0.022295475,18.45645,-6.05646,5.676283,0.9388977,-0.07318935,0.3969634,-43.12323,-11.08295,-39.84522,950.5986
0.032204151,19.07583,-6.05646,6.167187,0.9364262,-0.06640458,0.4023131,-43.12323,-11.08295,-39.84522,950.5986
0.042112827,21.49142,-6.231215,7.455808,0.9232906,-0.0772671,0.3961203,-43.12323,-11.08295,-39.84522,950.5986
0.052021980,22.73018,-6.464223,7.762622,0.9252104,-0.07384672,0.3966054,-43.12323,-11.08295,-39.84522,950.5986
0.061930656,23.59731,-7.046743,9.41942,0.9114443,-0.04015926,0.3811119,-43.18076,-11.45755,-39.84374,950.6019
0.071839333,22.48243,-7.512759,7.271719,0.9117466,-0.03732342,0.3662431,-43.18076,-11.45755,-39.84374,950.6019
0.081748486,21.73917,-7.338003,6.105824,0.9274006,-0.05078227,0.3511238,-43.18076,-11.45755,-39.84374,950.6019
0.091657162,22.1108,-6.697231,5.614921,0.9468042,-0.06110133,0.3715224,-43.18076,-11.45755,-39.84374,950.6019
0.101565838,21.80111,-5.881704,5.18538,0.9528558,-0.06581014,0.3839191,-43.18076,-11.45755,-39.84374,950.6013
0.111474991,22.23467,-4.949672,5.124017,0.9572529,-0.06965931,0.3790513,-43.54417,-12.20547,-39.51826,950.6013
0.121383667,22.48243,-3.842885,5.18538,0.9568477,-0.07254866,0.3838373,-43.54417,-12.20547,-39.51826,950.6013
0.131292820,23.72119,-2.50309,5.308106,0.963662,-0.07491818,0.3779967,-43.54417,-12.20547,-39.51826,950.6013
0.141201496,24.46444,-0.9302871,5.799009,0.9647635,-0.05216311,0.369015,-43.54417,-12.20547,-39.51826,950.6052
0.151110172,25.2077,-0.4642715,6.351275,0.949293,-0.03251562,0.3616065,-43.54417,-12.20547,-39.51826,950.6052
0.161019325,24.65026,-0.4642715,6.596727,0.9710172,-0.01872675,0.3504538,-43.53448,-12.95466,-39.51596,950.6052
0.170928001,23.65925,0.0599962,6.719453,0.9656031,-0.01491011,0.3514896,-43.53448,-12.95466,-39.51596,950.6052
0.180836678,23.03987,-0.2895156,7.026268,0.9492196,-0.00646067,0.3372927,-43.53448,-12.95466,-39.51596,950.6086
0.190746307,23.53537,-1.396303,5.921735,0.9310885,-0.01256147,0.3263761,-43.53448,-12.95466,-39.51596,950.6086
0.200654507,26.75615,-4.017641,4.75584,0.9235022,-0.02619462,0.3335578,-43.53448,-12.95466,-39.51596,950.6086
0.210563183,29.54336,-6.05646,5.124017,0.9171012,-0.06214666,0.3348179,-43.53496,-12.57509,-38.29646,950.6086
0.220472813,34.18872,-7.978775,5.921735,0.9263553,-0.06204912,0.3313719,-43.53496,-12.57509,-38.29646,950.6102
0.232858658,37.65725,-8.677798,7.455808,0.930743,-0.01590759,0.3364403,-43.53496,-12.57509,-38.29646,950.6102
0.242767334,36.72818,-7.454507,6.903542,0.9368845,0.004547943,0.3394007,-43.53496,-12.57509,-38.29646,950.6102
0.252676487,33.19771,-5.939956,6.351275,0.9453371,0.03081823,0.3361365,-43.53496,-12.57509,-38.29646,950.6102
0.262585163,27.74716,-5.240932,5.369469,0.9460896,0.04681071,0.332875,-44.63558,-14.07043,-37.51508,950.6122
0.272493839,22.66824,-4.774917,4.694477,0.9431768,0.05166296,0.3406167,-44.63558,-14.07043,-37.51508,950.6122
0.282402992,16.22668,-4.075893,3.835396,0.9327966,0.06562246,0.3460875,-44.63558,-14.07043,-37.51508,950.6122
0.292311668,8.856054,-3.027358,2.669501,0.9330033,0.03841291,0.3343805,-44.63558,-14.07043,-37.51508,950.6122
0.302220821,7.493418,-2.153579,2.23996,0.933084,-0.01836998,0.323438,-44.63558,-14.07043,-37.51508,950.6119
0.312129498,10.90001,-2.50309,1.319517,0.9528688,-0.03410486,0.3269914,-44.9447,-14.06732,-36.74252,950.6119
0.322038174,15.23567,-4.483657,0.7058876,0.9635303,-0.05718625,0.3382629,-44.9447,-14.06732,-36.74252,950.6119
0.331947804,19.07583,-5.648696,1.196791,0.9504926,-0.05726613,0.3542281,-44.9447,-14.06732,-36.74252,950.6119
