Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-16.46209,8.135472,1.718008,0.8782715,-0.1507952,0.3919533,-42.3993,13.99008,-45.12622,950.1153
0.017494679,-19.90795,8.610291,-0.9037352,0.8972613,-0.280412,0.3651533,-43.17165,12.08166,-45.18661,950.1153
0.024992943,-13.6931,7.720006,-0.05014454,0.9273353,-0.3242701,0.3928697,-43.17165,12.08166,-45.18661,950.1153
0.034989357,-4.216978,8.728995,0.7424754,0.8969132,-0.3125121,0.4158913,-43.17165,12.08166,-45.18661,950.1144
0.044986248,0.705681,7.720006,5.864019,0.841408,-0.2887248,0.4269892,-43.17165,12.08166,-45.18661,950.1144
0.054982662,-1.447982,6.59231,9.034499,0.8275149,-0.2753491,0.4317957,-43.17165,12.08166,-45.18661,950.1144
0.064980030,-2.494047,4.455625,13.85119,0.7733616,-0.2464704,0.412261,-43.17165,12.08166,-45.18661,950.1144
0.074976444,-11.90863,6.532958,14.33895,0.8434582,-0.1898671,0.4456246,-42.80448,12.46428,-45.25036,950.1173
0.084973335,-26.12281,5.642673,18.85079,0.853492,-0.100338,0.4896131,-42.80448,12.46428,-45.25036,950.1173
0.094970703,-43.96745,5.227206,17.93623,0.8891723,-0.1066336,0.4680166,-42.80448,12.46428,-45.25036,950.1173
0.104967117,-57.62782,5.405263,13.42439,0.9275076,-0.1765834,0.4411675,-42.80448,12.46428,-45.25036,950.1173
0.114964008,-64.21188,6.236197,7.51023,0.9360848,-0.21824,0.4373346,-42.80448,12.46428,-45.25036,950.119
0.124960423,-65.62714,5.939435,-0.1111153,0.9218379,-0.2122744,0.4297007,-42.06089,12.84645,-45.69833,950.119
0.134957790,-68.21154,7.423244,-6.08625,0.916058,-0.2677991,0.4282894,-42.06089,12.84645,-45.69833,950.119
0.144954681,-70.24213,7.06713,-2.549946,0.936617,-0.3247954,0.4215682,-42.06089,12.84645,-45.69833,950.119
0.154951096,-64.58108,7.06713,2.815481,0.9027939,-0.3928482,0.38623,-42.06089,12.84645,-45.69833,950.1225
0.164947987,-50.48997,6.295549,4.400721,0.8465177,-0.4325162,0.3681524,-40.97739,14.75939,-45.37762,950.1225
0.174944878,-33.01453,7.007777,1.352183,0.836412,-0.4396506,0.3538146,-40.97739,14.75939,-45.37762,950.1225
0.184941769,-19.35415,6.414253,-0.7208229,0.8461969,-0.4155583,0.3633629,-40.97739,14.75939,-45.37762,950.1225
0.194938183,-11.17023,5.049149,1.1083,0.8513815,-0.3541746,0.369081,-40.97739,14.75939,-45.37762,950.1225
0.204935551,-6.924439,6.058139,0.9863584,0.8579977,-0.3170203,0.3791099,-40.97739,14.75939,-45.37762,950.1225
0.214932442,-5.386109,5.167854,1.474125,0.877844,-0.3097416,0.3881664,-41.41644,17.80215,-45.07413,950.1225
0.224928856,-4.955376,4.930444,2.876452,0.8763403,-0.3072408,0.3991756,-41.41644,17.80215,-45.07413,950.1225
0.234925747,-4.278511,5.523968,2.022861,0.8856166,-0.3087039,0.378581,-41.41644,17.80215,-45.07413,950.122
0.244923115,-3.909311,5.761377,2.876452,0.8989984,-0.3205354,0.3843037,-41.41644,17.80215,-45.07413,950.122
